#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
345204, 326, 337, 206
345960, 323, 165, 204
346453, 321, 318, 200
348309, 316, 331, 200
349823, 319, 333, 198
350735, 317, 328, 198
354013, 313, 333, 200
354878, 324, 330, 211
355399, 315, 328, 200
355740, 318, 325, 200
359586, 320, 327, 198
359927, 317, 332, 202
360450, 317, 328, 203
361235, 212, 328, 206
361931, 318, 326, 199
364561, 324, 326, 201
370619, 320, 331, 208
371214, 324, 324, 198
371768, 318, 327, 204
372137, 320, 328, 200
372521, 315, 330, 195
376603, 315, 328, 198
378949, 324, 326, 198
381575, 318, 328, 204
382225, 322, 325, 200
383283, 320, 320, 195
384022, 307, 332, 204
384949, 330, 329, 198
385810, 315, 326, 70
386491, 318, 163, 202
389533, 318, 165, 200
399098, 322, 330, 195
406521, 313, 331, 200
410291, 163, 326, 198
411233, 314, 337, 199
415302, 318, 331, 199
416921, 315, 327, 207
417819, 326, 324, 201
419237, 322, 322, 195
419533, 212, 328, 199
423386, 320, 327, 198
424312, 318, 329, 206
426547, 320, 324, 199
427828, 316, 324, 203
428198, 275, 327, 205
428924, 320, 329, 206
429149, 324, 328, 199
430708, 320, 329, 202
431776, 318, 325, 202
433010, 320, 333, 205
434491, 326, 217, 204
435616, 321, 326, 202
435986, 324, 326, 201
436326, 323, 326, 207
437252, 314, 324, 204
438863, 317, 324, 200
441837, 319, 326, 204
